
 11%|███████████████                                                                                                                         | 15/136 [00:01<00:09, 12.68it/s]
loss:  tensor(0.5778, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(4.5914, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8170, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6330, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6613, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0072, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0048, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0747, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.7082, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6932, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6160, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7845, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7226, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6074, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5298, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2704, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6373, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7818, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9217, device='cuda:0', grad_fn=<NllLossBackward0>)

 32%|███████████████████████████████████████████                                                                                             | 43/136 [00:03<00:06, 13.58it/s]
loss:  tensor(0.6234, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4282, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4837, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5646, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4012, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4881, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6070, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5377, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4562, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6270, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6217, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4526, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6305, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7371, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7001, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4852, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5163, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7948, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6379, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6594, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5059, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4334, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6395, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8443, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5977, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5485, device='cuda:0', grad_fn=<NllLossBackward0>)

 52%|███████████████████████████████████████████████████████████████████████                                                                 | 71/136 [00:05<00:04, 13.72it/s]
loss:  tensor(0.4225, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6637, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5565, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4208, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.0012, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5544, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4647, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7262, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5436, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5610, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4981, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5063, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6999, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6345, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6360, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7069, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5368, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4530, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9106, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6120, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9660, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8164, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4687, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5600, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7644, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7368, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5374, device='cuda:0', grad_fn=<NllLossBackward0>)

 73%|███████████████████████████████████████████████████████████████████████████████████████████████████                                     | 99/136 [00:07<00:02, 13.87it/s]
loss:  tensor(0.6812, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5593, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5484, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6250, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5424, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6942, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5176, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3926, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4935, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4093, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4897, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2518, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(1.1885, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6149, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7888, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6512, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4268, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8772, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5118, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4358, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6749, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6220, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5417, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6760, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5666, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6447, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4765, device='cuda:0', grad_fn=<NllLossBackward0>)

 92%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████           | 125/136 [00:09<00:00, 13.44it/s]
loss:  tensor(0.6446, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5474, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6525, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4797, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4154, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5559, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7547, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5777, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7703, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4177, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5291, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6964, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9902, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6288, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5328, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4486, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4805, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4491, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4633, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7083, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3666, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6191, device='cuda:0', grad_fn=<NllLossBackward0>)
