2022-11-07 11:10:08,103 INFO    MainThread:3543857 [wandb_setup.py:_flush():76] Configure stats pid to 3543857
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_setup.py:_flush():76] Loading settings from /home/zhli/.config/wandb/settings
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_setup.py:_flush():76] Loading settings from /home/zhli/Current-Work/Pcam_Experiment/wandb/settings
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_MHIST.py', 'program': 'train_MHIST.py'}
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_init.py:_log_setup():461] Logging user logs to /home/zhli/Current-Work/Pcam_Experiment/wandb/run-20221107_111008-1prmzhp7/logs/debug.log
2022-11-07 11:10:08,104 INFO    MainThread:3543857 [wandb_init.py:_log_setup():462] Logging internal logs to /home/zhli/Current-Work/Pcam_Experiment/wandb/run-20221107_111008-1prmzhp7/logs/debug-internal.log
2022-11-07 11:10:08,105 INFO    MainThread:3543857 [wandb_init.py:init():495] calling init triggers
2022-11-07 11:10:08,105 INFO    MainThread:3543857 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-11-07 11:10:08,105 INFO    MainThread:3543857 [wandb_init.py:init():548] starting backend
2022-11-07 11:10:08,105 INFO    MainThread:3543857 [wandb_init.py:init():552] setting up manager
2022-11-07 11:10:08,110 INFO    MainThread:3543857 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-07 11:10:08,113 INFO    MainThread:3543857 [wandb_init.py:init():558] backend started and connected
2022-11-07 11:10:08,117 INFO    MainThread:3543857 [wandb_init.py:init():636] updated telemetry
2022-11-07 11:10:08,138 INFO    MainThread:3543857 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-11-07 11:10:08,439 INFO    MainThread:3543857 [wandb_run.py:_on_init():1982] communicating current version
2022-11-07 11:10:13,440 INFO    MainThread:3543857 [wandb_run.py:_on_init():1986] got version response None
2022-11-07 11:10:13,440 INFO    MainThread:3543857 [wandb_init.py:init():700] starting run threads in backend
2022-11-07 11:10:15,057 INFO    MainThread:3543857 [wandb_run.py:_console_start():1962] atexit reg
2022-11-07 11:10:15,057 INFO    MainThread:3543857 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-11-07 11:10:15,057 INFO    MainThread:3543857 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-11-07 11:10:15,057 INFO    MainThread:3543857 [wandb_run.py:_redirect():1907] Redirects installed.
2022-11-07 11:10:15,058 INFO    MainThread:3543857 [wandb_init.py:init():732] run started, returning control to user process
2022-11-07 11:19:02,231 WARNING MsgRouterThr:3543857 [router.py:message_loop():76] message_loop has been closed
